beat,act,title,intensity,suspense,hard_out,essie,denise,near_miss,card_dealt,cards_cashed,notes
1,1,"Sorting week: provenance comedy, un-donated boxes",2,1,,,,,,,
2,1,"The pay envelope: the twenty pocketed — “that's not for sale”",5,3,1,,,,,,
3,1,"Essie 1965 · she counts the envelope light, says nothing",4,6,,1965,,,"Estelle knows the twenty is gone",,
4,1,"The pitcher: the stand born in one collective gulp",3,5,,,,,,,
5,1,"The bill: $7,800, due late August — the vow forms",7,6,1,,,,,,
6,1,"Denise reads the portal email; the Friday shifts begin",4,8,,,D1,,"Denise has read the portal email",,
7,1,"The stake: $30 for 30% — three rescues running blind",5,8,1,,,,,,act out
8,2,"Turned away: no permit; the ice melts; the $30 dies",6,7,,,,,,,
9,2,"Ordinance week: city hall says yes",4,6,,,,,,,
10,2,"Near-miss #1: “everything's handled, Mom”",6,9,,,,#1,,,
11,2,"The legal debut flops; the drawer liturgy",3,6,,,,,,,
12,2,"Sydney finds the Levitt crowds; the stand takes off",5,6,,,,,,,
13,2,"Estelle buys back her own piece at a markup",4,7,,,,,,,
14,2,"The number told to Max: the valve opens",5,7,,,,,,,
15,2,"The account opens: green glow under everything",6,8,1,,,,,,act out
16,3,"The concessionaire's $600; the secret “sell” slip",5,7,,,,,"The anonymous “sell” slip was Keisha's",,
17,3,"Sofi's invoice; Lourdes reads every line; Essie 1976",4,6,,1976,,,,,
18,3,"The liquidity trap: the deposit, the $60 float borrow",6,8,,,,,,,
19,3,"The mail errand; Essie 2009 — the reader holds the answer",4,9,,2009,,,"The credit line is Estelle's 529",,
20,3,"JazzFest: the box vanishes; the $60 confessed; the sell window closes",9,9,1,,,,,,
21,3,"The supper table: hotdish, weather, near-misses #2 and #3",2,10,,,,#2 #3,,,the model scene
22,3,"Denise's math falls short; the watch goes to the appraiser",5,9,,,D2,,,,
23,3,"Emily's triptych; Sydney's warning mid-winning-streak",6,8,1,,,,,,act out
24,4,"She presses: the advance goes in, eyes open, twice warned",7,9,,,,,,,
25,4,"One red morning: down 80%; Essie 1987",9,9,1,1987,,,,,
26,4,"The ice-out: Max blamed, the pressure valve closed",5,8,,,,,,,
27,4,"The watch sells on a Tuesday; the pawn ticket",6,9,,,D3,,,,
28,4,"The paperwork box: certificate, letterhead, Sunrise folder",8,9,,,,,"The garage sale was Gary's idea",,
29,4,"Gary observed; the contract borrowed and read overnight",7,9,,,,,,,
30,4,"The shame visit: Essie, $900,000 — “you owe a cash box twenty dollars”",9,7,1,,,,,1,
31,4,"The price: keep all of it from Denise",8,8,1,,,,,,act out
32,5,"The negotiation won with her own arithmetic; Essie 2021",7,7,,2021,,,,,
33,5,"Two rehearsals: Sydney's ticket, Emily's quiet account",4,6,,,,,,,
34,5,"The table: three collapses, one pawn ticket",10,3,1,,,,,1,climax
35,5,"Gary's appointment: a sentence, not a showdown",5,2,,,,,,,
36,5,"Coda: the family ledger; I-29 north; Sofi at the fence",2,1,,,,,,,
